-803.1366,301.8531,313.7177,-91.7242,23.9332,78.5394
-765.8757,230.5212,295.6827,-68.0075,13.2682,89.1725
-832.6329,271.2891,241.2058,128.2013,69.9029,-65.5209 
-833.5526,154.5896,259.3919,93.9591,14.3489,-127.2493
-875.5896,193.0089,286.0627,117.8562,25.9005,-129.0509
-830.9783,92.4671,291.0171,86.9352,11.0560,-135.5582
-732.7230,430.3658,267.8643,85.2199,1.5887,-71.8062
-768.5123,479.7425,241.9426,117.3458,-14.1925,-90.3569
-756.0100,356.6525,280.0957,76.2716,26.7497,-88.3395
-875.3639,313.8954,203.9798,114.7831,-2.7978,-86.6157
-785.0739,316.2340,229.8660,84.0822,9.9320,-154.5778
-818.8902,88.8258,240.0452,76.1702,3.8233,-139.9686 
