Joint1(deg),Joint2(deg),Joint3(deg),Joint4(deg),Joint5(deg),Joint6(deg)
-37.20,72.86,-42.38,-30.60,-46.62,0.92
-37.20,72.86,-42.38,-30.60,-46.62,0.92
-36.65,72.70,-42.40,-30.40,-47.18,0.98
-36.65,72.70,-42.40,-30.40,-47.18,0.98
-36.65,72.70,-42.40,-30.40,-47.18,0.98
-36.65,72.70,-42.40,-30.40,-47.18,0.98
-36.19,72.58,-42.41,-30.25,-47.66,1.03
-36.19,72.58,-42.41,-30.25,-47.66,1.03
-36.19,72.58,-42.41,-30.25,-47.66,1.03
-36.19,72.58,-42.41,-30.25,-47.66,1.03
-35.93,72.51,-42.43,-30.17,-47.94,1.06
-35.93,72.51,-42.43,-30.17,-47.94,1.06
-35.93,72.51,-42.43,-30.17,-47.94,1.06
-35.93,72.51,-42.43,-30.17,-47.94,1.06
-36.09,72.52,-42.40,-30.17,-47.70,1.06
-36.09,72.52,-42.40,-30.17,-47.70,1.06
-36.09,72.52,-42.40,-30.17,-47.70,1.06
-36.09,72.52,-42.40,-30.17,-47.70,1.06
-35.66,72.38,-42.37,-29.95,-47.98,1.15
-35.66,72.38,-42.37,-29.95,-47.98,1.15
-35.66,72.38,-42.37,-29.95,-47.98,1.15
-35.66,72.38,-42.37,-29.95,-47.98,1.15
-35.09,72.25,-42.36,-29.74,-48.46,1.23
-35.09,72.25,-42.36,-29.74,-48.46,1.23
-35.09,72.25,-42.36,-29.74,-48.46,1.23
-35.09,72.25,-42.36,-29.74,-48.46,1.23
-34.48,72.13,-42.36,-29.55,-49.01,1.31
-34.48,72.13,-42.36,-29.55,-49.01,1.31
-34.48,72.13,-42.36,-29.55,-49.01,1.31
-34.48,72.13,-42.36,-29.55,-49.01,1.31
-33.96,72.04,-42.37,-29.40,-49.49,1.37
-33.96,72.04,-42.37,-29.40,-49.49,1.37
-33.96,72.04,-42.37,-29.40,-49.49,1.37
-33.96,72.04,-42.37,-29.40,-49.49,1.37
-33.65,71.98,-42.37,-29.31,-49.78,1.41
-33.65,71.98,-42.37,-29.31,-49.78,1.41
-33.65,71.98,-42.37,-29.31,-49.78,1.41
-33.65,71.98,-42.37,-29.31,-49.78,1.41
-33.93,72.02,-42.36,-29.37,-49.49,1.39
-33.93,72.02,-42.36,-29.37,-49.49,1.39
-33.93,72.02,-42.36,-29.37,-49.49,1.39
-33.93,72.02,-42.36,-29.37,-49.49,1.39
-33.57,71.86,-42.32,-29.17,-49.70,1.49
-33.57,71.86,-42.32,-29.17,-49.70,1.49
-33.57,71.86,-42.32,-29.17,-49.70,1.49
-33.57,71.86,-42.32,-29.17,-49.70,1.49
-33.05,71.69,-42.30,-28.97,-50.13,1.59
-33.05,71.69,-42.30,-28.97,-50.13,1.59
-33.05,71.69,-42.30,-28.97,-50.13,1.59
-33.05,71.69,-42.30,-28.97,-50.13,1.59
-32.47,71.53,-42.30,-28.79,-50.66,1.68
-32.47,71.53,-42.30,-28.79,-50.66,1.68
-32.47,71.53,-42.30,-28.79,-50.66,1.68
-32.47,71.53,-42.30,-28.79,-50.66,1.68
-31.95,71.41,-42.30,-28.64,-51.15,1.76
-31.95,71.41,-42.30,-28.64,-51.15,1.76
-31.95,71.41,-42.30,-28.64,-51.15,1.76
-31.95,71.41,-42.30,-28.64,-51.15,1.76
-31.60,71.32,-42.30,-28.54,-51.49,1.81
-31.60,71.32,-42.30,-28.54,-51.49,1.81
-31.60,71.32,-42.30,-28.54,-51.49,1.81
-31.60,71.32,-42.30,-28.54,-51.49,1.81
-31.60,71.33,-42.30,-28.54,-51.49,1.81
-31.60,71.33,-42.30,-28.54,-51.49,1.81
-31.60,71.33,-42.30,-28.54,-51.49,1.81
-31.60,71.33,-42.30,-28.54,-51.49,1.81
-31.28,71.17,-42.25,-28.37,-51.64,1.92
-31.28,71.17,-42.25,-28.37,-51.64,1.92
-31.28,71.17,-42.25,-28.37,-51.64,1.92
-31.28,71.17,-42.25,-28.37,-51.64,1.92
-30.78,70.99,-42.22,-28.19,-52.02,2.02
-30.78,70.99,-42.22,-28.19,-52.02,2.02
-30.78,70.99,-42.22,-28.19,-52.02,2.02
