-754.4388,263.3383,388.1592,93.0296,14.4586,-120.6534
-617.7470,169.0116,444.7951,145.9966,63.7386,-67.1392
-864.0146,307.5709,289.3672,14.8106,57.6016,166.1599
-811.6310,137.2806,311.4700,70.0151,77.6639,-166.9584
-636.9210,265.1070,349.8965,-118.4055,19.4955,68.7619
-420.1180,96.1004,643.8609,-116.3579,-1.5794,55.6023
-794.3515,212.0086,297.1360,-75.2651,-34.9763,26.4009
-527.7969,421.4107,477.6069,-33.8442,-73.0822,41.2903
-483.8433,122.1039,472.6887,-145.2988,-40.2594,98.4699
-730.6063,424.7096,281.4422,74.8423,-81.1857,-74.3950
-674.2401,216.2430,397.8531,157.3085,-72.7432,172.8251
-448.3172,66.2725,546.9924,-1155.1256,-27.4353,74.0402
